time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-29 00:00:00+00:00,1,1,0,0
2024-05-30 00:00:00+00:00,2,2,47,5
2024-05-31 00:00:00+00:00,5,2,5,2
2024-06-01 00:00:00+00:00,1,1,1,1
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,4,4,15,3
2024-06-04 00:00:00+00:00,5,2,3,2
2024-06-05 00:00:00+00:00,1,1,6,2
2024-06-06 00:00:00+00:00,1,1,35,4
2024-06-07 00:00:00+00:00,1,1,9,2
2024-06-08 00:00:00+00:00,4,3,64,5
2024-06-09 00:00:00+00:00,1,1,100,16
2024-06-10 00:00:00+00:00,1,1,213,14
2024-06-11 00:00:00+00:00,5,2,54,6
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,2,2,12,1
2024-06-14 00:00:00+00:00,2,1,0,0
2024-06-17 00:00:00+00:00,5,2,1,1
2024-06-18 00:00:00+00:00,5,2,4,3
2024-06-19 00:00:00+00:00,1,1,51,7
2024-06-20 00:00:00+00:00,6,3,28,7
2024-06-22 00:00:00+00:00,0,0,21,1
2024-06-23 00:00:00+00:00,4,2,20,3
2024-06-24 00:00:00+00:00,0,0,2,1
2024-06-25 00:00:00+00:00,0,0,18,2
2024-06-26 00:00:00+00:00,0,0,6,1
2024-06-27 00:00:00+00:00,2,1,0,0
2024-06-28 00:00:00+00:00,0,0,13,2
2024-06-29 00:00:00+00:00,0,0,7,1
2024-06-30 00:00:00+00:00,0,0,2,1
2024-07-01 00:00:00+00:00,2,2,35,3
2024-07-02 00:00:00+00:00,0,0,20,2
2024-07-03 00:00:00+00:00,0,0,5,1
2024-07-08 00:00:00+00:00,0,0,75,7
2024-07-09 00:00:00+00:00,0,0,57,2
2024-07-10 00:00:00+00:00,2,1,7,3
2024-07-11 00:00:00+00:00,0,0,28,4
2024-07-12 00:00:00+00:00,0,0,17,1
2024-07-13 00:00:00+00:00,1,1,13,3
2024-07-14 00:00:00+00:00,0,0,1,1
2024-07-15 00:00:00+00:00,4,2,0,0
2024-07-16 00:00:00+00:00,0,0,6,2
2024-07-17 00:00:00+00:00,4,2,10,2
2024-07-18 00:00:00+00:00,0,0,6,2
2024-07-19 00:00:00+00:00,0,0,12,3
2024-07-20 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,0,0,17,2
2024-07-22 00:00:00+00:00,1,1,12,2
2024-07-23 00:00:00+00:00,0,0,26,2
2024-07-24 00:00:00+00:00,3,2,2,1
2024-07-25 00:00:00+00:00,0,0,22,2
2024-07-26 00:00:00+00:00,2,1,2,1
